StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q42,Q45,Q3,Q37,Q38,Q25#1_2,Q25#1_3,Q25#1_33,Q25#1_37,Q25#1_6,Q25#1_7,Q25#2_2,Q25#2_3,Q25#2_33,Q25#2_37,Q25#2_6,Q25#2_7,Q25#3_2,Q25#3_3,Q25#3_33,Q25#3_37,Q25#3_6,Q25#3_7,Q25#4_2,Q25#4_3,Q25#4_33,Q25#4_37,Q25#4_6,Q25#4_7,Q25#5_2,Q25#5_3,Q25#5_33,Q25#5_37,Q25#5_6,Q25#5_7,Q34#1_2,Q34#1_3,Q34#1_33,Q34#1_37,Q34#1_6,Q34#1_7,Q36,Q36_3_TEXT,Q30,Q31,Q39,Q17,Q18,Q9,Q32,Q47,Q31,Q33,Q48,Q34,Q35,Q49,Q19,Q20,Q37,Q38,Q39,Q40,Q44,Q41,Q42,Q43,Q43,MTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Let's get started! Which of the following appliances do you have in your home (primary residence)? You can select multiple appliances, including those you own or rent, and also those that belong to your landlord or someone else.","Between 2007 and now, have you or someone in your household purchased any of the following appliances? Please select appliances you purchased even if you do not own them anymore. You can select multiple appliances, so please select all that apply.","You just told us that you, or someone in your household, bought the appliance(s) below. For which appliance(s) do you recall applying for a rebate? If you bought more than one of an appliance, please consider the most recent purchase. Please select all that apply.","Before taking this survey, were you aware of the rebate programs offered by electric and gas utilities?","Do you think there were times when you were eligible for an appliance rebate, but did not apply? If so, what were the reasons?",Please tell us a bit more about these rebates: - How long ago did you apply? - Refrigerator,Please tell us a bit more about these rebates: - How long ago did you apply? - Window Air Conditioner,Please tell us a bit more about these rebates: - How long ago did you apply? - Clothes Dryer,Please tell us a bit more about these rebates: - How long ago did you apply? - Clothes Washer,Please tell us a bit more about these rebates: - How long ago did you apply? - Water Heater,Please tell us a bit more about these rebates: - How long ago did you apply? - Pool pump/ motor,Please tell us a bit more about these rebates: - Did you already have another working appliance of this type in your home? - Refrigerator,Please tell us a bit more about these rebates: - Did you already have another working appliance of this type in your home? - Window Air Conditioner,Please tell us a bit more about these rebates: - Did you already have another working appliance of this type in your home? - Clothes Dryer,Please tell us a bit more about these rebates: - Did you already have another working appliance of this type in your home? - Clothes Washer,Please tell us a bit more about these rebates: - Did you already have another working appliance of this type in your home? - Water Heater,Please tell us a bit more about these rebates: - Did you already have another working appliance of this type in your home? - Pool pump/ motor,Please tell us a bit more about these rebates: - What was the rebate amount? - Refrigerator,Please tell us a bit more about these rebates: - What was the rebate amount? - Window Air Conditioner,Please tell us a bit more about these rebates: - What was the rebate amount? - Clothes Dryer,Please tell us a bit more about these rebates: - What was the rebate amount? - Clothes Washer,Please tell us a bit more about these rebates: - What was the rebate amount? - Water Heater,Please tell us a bit more about these rebates: - What was the rebate amount? - Pool pump/ motor,Please tell us a bit more about these rebates: - How long after purchase did you apply for the rebate? - Refrigerator,Please tell us a bit more about these rebates: - How long after purchase did you apply for the rebate? - Window Air Conditioner,Please tell us a bit more about these rebates: - How long after purchase did you apply for the rebate? - Clothes Dryer,Please tell us a bit more about these rebates: - How long after purchase did you apply for the rebate? - Clothes Washer,Please tell us a bit more about these rebates: - How long after purchase did you apply for the rebate? - Water Heater,Please tell us a bit more about these rebates: - How long after purchase did you apply for the rebate? - Pool pump/ motor,Please tell us a bit more about these rebates: - Did you receive the rebate payment? - Refrigerator,Please tell us a bit more about these rebates: - Did you receive the rebate payment? - Window Air Conditioner,Please tell us a bit more about these rebates: - Did you receive the rebate payment? - Clothes Dryer,Please tell us a bit more about these rebates: - Did you receive the rebate payment? - Clothes Washer,Please tell us a bit more about these rebates: - Did you receive the rebate payment? - Water Heater,Please tell us a bit more about these rebates: - Did you receive the rebate payment? - Pool pump/ motor,What did you do with your old working appliance? - Q34#1 - Refrigerator,What did you do with your old working appliance? - Q34#1 - Window Air Conditioner,What did you do with your old working appliance? - Q34#1 - Clothes Dryer,What did you do with your old working appliance? - Q34#1 - Clothes Washer,What did you do with your old working appliance? - Q34#1 - Water Heater,What did you do with your old working appliance? - Q34#1 - Pool pump/ motor,Do you own or rent your home? - Selected Choice,Do you own or rent your home? - Other - Text,Have you moved residences since 2007?,When did you move to your current residence?,Are the major appliances in your home (the appliances we asked about in this survey) mostly newer or older?,Please specify your electric utility:,Please specify your utility:,Please specify any energy efficiency utility program(s) that you are currently enrolled in:,Please specify the program(s):,How long ago did you first enroll in CARE?,Please specify any energy efficiency utility program(s) that you are currently enrolled in:,Please specify the program(s):,How long ago did you first enroll in CARE?,Please specify any energy efficiency utility program(s) that you are currently enrolled in:,Please specify the program(s):,How long ago did you first enroll in CARE?,Who is responsible for the electricity bill payment for your household?,Please specify:,What is your age?,Please select your gender:,Please specify your race or ethnicity:,What is your annual household income?,What is your highest level of education attained?,What is your household size?,Please provide your zip code:,Is there anything else you would like to tell us?,Please enter your MTurk ID:,MTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID63""}","{""ImportId"":""QID45""}","{""ImportId"":""QID3""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID25#1_2""}","{""ImportId"":""QID25#1_3""}","{""ImportId"":""QID25#1_33""}","{""ImportId"":""QID25#1_37""}","{""ImportId"":""QID25#1_6""}","{""ImportId"":""QID25#1_7""}","{""ImportId"":""QID25#2_2""}","{""ImportId"":""QID25#2_3""}","{""ImportId"":""QID25#2_33""}","{""ImportId"":""QID25#2_37""}","{""ImportId"":""QID25#2_6""}","{""ImportId"":""QID25#2_7""}","{""ImportId"":""QID25#3_2""}","{""ImportId"":""QID25#3_3""}","{""ImportId"":""QID25#3_33""}","{""ImportId"":""QID25#3_37""}","{""ImportId"":""QID25#3_6""}","{""ImportId"":""QID25#3_7""}","{""ImportId"":""QID25#4_2""}","{""ImportId"":""QID25#4_3""}","{""ImportId"":""QID25#4_33""}","{""ImportId"":""QID25#4_37""}","{""ImportId"":""QID25#4_6""}","{""ImportId"":""QID25#4_7""}","{""ImportId"":""QID25#5_2""}","{""ImportId"":""QID25#5_3""}","{""ImportId"":""QID25#5_33""}","{""ImportId"":""QID25#5_37""}","{""ImportId"":""QID25#5_6""}","{""ImportId"":""QID25#5_7""}","{""ImportId"":""QID55#1_2""}","{""ImportId"":""QID55#1_3""}","{""ImportId"":""QID55#1_33""}","{""ImportId"":""QID55#1_37""}","{""ImportId"":""QID55#1_6""}","{""ImportId"":""QID55#1_7""}","{""ImportId"":""QID57""}","{""ImportId"":""QID57_3_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID60""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID31""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID65""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""MTurkCode""}"
2017-10-04 12:58:53,2017-10-04 13:00:43,Survey Preview,,100,109,True,2017-10-04 13:00:43,R_1EcGD5vYFl0st2U,,,,,40.443893432617,-79.956100463867,preview,EN,Clothes Dryer,Window Air Conditioner,Window Air Conditioner,,,,Less than 1 year,,,,,,Yes,,,,,,More than $300,,,,,,0-30 days,,,,,,Yes,,,,,,Scrapped it,,,,,Rent,,Yes,2008,Mostly older (more than 5 years),Los Angeles Department of Water and Power (LADWP),,,,,,,,,,,You,,51-60 years old,Female,"White,Asian","$21,000-$80,000",8th grade or less,4,12345,234,12345,95377160
2017-10-04 13:03:18,2017-10-04 13:04:33,Survey Preview,,100,75,True,2017-10-04 13:04:34,R_3F2JZC0YdAvzwqx,,,,,40.443893432617,-79.956100463867,preview,EN,Window Air Conditioner,"Window Air Conditioner,Clothes Dryer",Window Air Conditioner,,,,Less than 1 year,,,,,,Yes,,,,,,$51-100,,,,,,0-30 days,,,,,,Yes,,,,,,Kept it,,,,,Rent,,Yes,2010,Mostly older (more than 5 years),Sacramento Municipal Utility District (SMUD),,,,,,,,,,,You,,21-30 years old,Other,Hispanic or Latino,"<$20,000",8th grade or less,1,12345,,21,61233008
2017-10-04 13:18:50,2017-10-04 13:19:44,Survey Preview,,100,53,True,2017-10-04 13:19:44,R_3OW9fl3yYwBRqCd,,,,,40.443893432617,-79.956100463867,preview,EN,I do not have any of these,I did not purchase any of these,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rent,,No,,Mostly newer (5 years old or less),Los Angeles Department of Water and Power (LADWP),,,,,,,,,,,"Spouse, domestic partner, or roommate",,21-30 years old,Female,"Black or African American,American Indian or Alaska Native","<$20,000",8th grade or less,4,12345,,123,15355454
2017-10-12 10:10:35,2017-10-12 10:12:31,Survey Preview,,100,115,True,2017-10-12 10:12:32,R_2VgLmRBbmQZbeQR,,,,,40.443893432617,-79.956100463867,preview,EN,Refrigerator,"Refrigerator,Window Air Conditioner","Refrigerator,Window Air Conditioner",,,1-3 years,1-3 years,,,,,Yes,Yes,,,,,$101-300,$51-100,,,,,0-30 days,31-60 days,,,,,No,Yes,,,,,Kept it,Scrapped it,,,,,Rent,,Prefer not to answer,,Mostly older (more than 5 years),San Diego Gas & Electric (SDG&E),,,,,,,,,,,Landlord,,31-40 years old,Male,Prefer not to answer,"$21,000-$80,000","More than 8th grade, but not a high school graduate",2,,,123123,8833572
2017-10-13 09:38:09,2017-10-13 09:41:35,Survey Preview,,100,206,True,2017-10-13 09:41:36,R_2ePQktG8Y7VDcYf,,,,,40.443893432617,-79.956100463867,preview,EN,"Refrigerator,Window Air Conditioner","Refrigerator,Clothes Dryer","Refrigerator,Clothes Dryer",,,4-6 years,,Less than 1 year,,,,Yes,,Yes,,,,$50 or less,,$51-100,,,,31-60 days,,0-30 days,,,,No,,Yes,,,,Kept it,,Scrapped it,,,,Rent,,Yes,2009,Mostly older (more than 5 years),Other,sad,,,,,,,,,,"Spouse, domestic partner, or roommate",,41-50 years old,Male,American Indian or Alaska Native,"<$20,000",High school graduate or GED,3,,,123123,6770837
2017-10-19 10:10:41,2017-10-19 10:14:57,IP Address,128.237.209.236,100,256,True,2017-10-19 10:14:57,R_31sL8zMInaVdEv9,,,,,40.443893432617,-79.956100463867,anonymous,EN,"Refrigerator,Window Air Conditioner","Refrigerator,Window Air Conditioner",Refrigerator,,,1-3 years,,,,,,Yes,,,,,,$51-100,,,,,,0-30 days,,,,,,No,,,,,,Scrapped it,,,,,,Rent,,Yes,2008,,Southern California Edison (SCE),,,,,California Alternate Rates for Energy (CARE),,3-4 years,,,,"Spouse, domestic partner, or roommate",,Under 20 years old,Other,Hispanic or Latino,"<$20,000",High school graduate or GED,1,,,1,52039874
2017-10-10 10:15:22,2017-10-12 16:29:51,IP Address,173.75.31.10,74,195269,False,2017-10-19 16:30:19,R_2PhPq7EWkyjc6tK,,,,,,,anonymous,EN,"Refrigerator,Window Air Conditioner,Clothes Dryer,Clothes Washer,Water Heater","Refrigerator,Window Air Conditioner","Refrigerator,Window Air Conditioner",,,4-6 years,1-3 years,,,,,Yes,No,,,,,$101-300,More than $300,,,,,0-30 days,31-60 days,,,,,Yes,Yes,,,,,Kept it,,,,,,Own,,No,,,Pacific Gas and Electric Company (PG&E),,"California Alternate Rates for Energy (CARE),Family Electric Rate Assistance (FERA)",,7-10 years,,,,,,,You,,,,,,,,,,,40213047
2017-10-20 15:42:51,2017-10-20 15:44:58,IP Address,98.176.238.152,100,127,True,2017-10-20 15:44:58,R_2EtujdY4mDuPfcy,,,,,32.636093139648,-117.05319976807,anonymous,EN,"Refrigerator,Clothes Dryer,Clothes Washer,Water Heater","Refrigerator,Clothes Dryer,Clothes Washer",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Own,,Yes,2014,Mostly newer (5 years old or less),San Diego Gas & Electric (SDG&E),,,,,,,,,,,You,,21-30 years old,Male,Asian,"$81,000-$160,000",Bachelor's degree or higher,2,92154,No,A39Q4SNT7SRK94,88341234
