StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q42,Q45,Q3,Q37,Q38,Q25#1_3,Q25#1_33,Q25#1_37,Q25#1_6,Q25#1_7,Q25#1_2,Q25#2_3,Q25#2_33,Q25#2_37,Q25#2_6,Q25#2_7,Q25#2_2,Q25#3_3,Q25#3_33,Q25#3_37,Q25#3_6,Q25#3_7,Q25#3_2,Q25#4_3,Q25#4_33,Q25#4_37,Q25#4_6,Q25#4_7,Q25#4_2,Q25#5_3,Q25#5_33,Q25#5_37,Q25#5_6,Q25#5_7,Q25#5_2,Q34#1_3,Q34#1_33,Q34#1_37,Q34#1_6,Q34#1_7,Q34#1_2,Q36,Q36_3_TEXT,Q30,Q31,Q39,Q48,Q49,Q50,Q51,Q53,Q55,Q17,Q18,Q9,Q32,Q47,Q31,Q33,Q48,Q34,Q35,Q49,Q19,Q20,Q37,Q38,Q39,Q40,Q44,Q41,Q56,Q58,Q57,Q42,Q43,Q43,MTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Let's get started! Which of the following appliances do you have in your home (primary residence)? You can select multiple appliances, including those you own or rent, and also those that belong to your landlord or someone else.","Between 2007 and now, have you or someone in your household purchased any of the following appliances? Please select appliances you purchased even if you do not own them anymore. You can select multiple appliances, so please select all that apply.","You just told us that you, or someone in your household, bought the appliance(s) below. For which appliance(s) do you recall applying for a utility rebate? If you bought more than one of an appliance, please consider the most recent purchase. Please select all that apply.","Before taking this survey, were you aware of the rebate programs offered by electric and gas utilities?","Do you think there were times when you were eligible for an appliance rebate, but did not apply? If so, what were the reasons?",Please tell us a bit more about these rebates: - How long ago did you apply? - Window Air Conditioner,Please tell us a bit more about these rebates: - How long ago did you apply? - Clothes Dryer,Please tell us a bit more about these rebates: - How long ago did you apply? - Clothes Washer,Please tell us a bit more about these rebates: - How long ago did you apply? - Water Heater,Please tell us a bit more about these rebates: - How long ago did you apply? - Pool pump/ motor,Please tell us a bit more about these rebates: - How long ago did you apply? - Refrigerator,Please tell us a bit more about these rebates: - Did you already have another working appliance of this type in your home? - Window Air Conditioner,Please tell us a bit more about these rebates: - Did you already have another working appliance of this type in your home? - Clothes Dryer,Please tell us a bit more about these rebates: - Did you already have another working appliance of this type in your home? - Clothes Washer,Please tell us a bit more about these rebates: - Did you already have another working appliance of this type in your home? - Water Heater,Please tell us a bit more about these rebates: - Did you already have another working appliance of this type in your home? - Pool pump/ motor,Please tell us a bit more about these rebates: - Did you already have another working appliance of this type in your home? - Refrigerator,Please tell us a bit more about these rebates: - What was the rebate amount? - Window Air Conditioner,Please tell us a bit more about these rebates: - What was the rebate amount? - Clothes Dryer,Please tell us a bit more about these rebates: - What was the rebate amount? - Clothes Washer,Please tell us a bit more about these rebates: - What was the rebate amount? - Water Heater,Please tell us a bit more about these rebates: - What was the rebate amount? - Pool pump/ motor,Please tell us a bit more about these rebates: - What was the rebate amount? - Refrigerator,Please tell us a bit more about these rebates: - How long after purchase did you apply for the rebate? - Window Air Conditioner,Please tell us a bit more about these rebates: - How long after purchase did you apply for the rebate? - Clothes Dryer,Please tell us a bit more about these rebates: - How long after purchase did you apply for the rebate? - Clothes Washer,Please tell us a bit more about these rebates: - How long after purchase did you apply for the rebate? - Water Heater,Please tell us a bit more about these rebates: - How long after purchase did you apply for the rebate? - Pool pump/ motor,Please tell us a bit more about these rebates: - How long after purchase did you apply for the rebate? - Refrigerator,Please tell us a bit more about these rebates: - Did you receive the rebate payment? - Window Air Conditioner,Please tell us a bit more about these rebates: - Did you receive the rebate payment? - Clothes Dryer,Please tell us a bit more about these rebates: - Did you receive the rebate payment? - Clothes Washer,Please tell us a bit more about these rebates: - Did you receive the rebate payment? - Water Heater,Please tell us a bit more about these rebates: - Did you receive the rebate payment? - Pool pump/ motor,Please tell us a bit more about these rebates: - Did you receive the rebate payment? - Refrigerator,What did you do with your old working appliance? - Q34#1 - Window Air Conditioner,What did you do with your old working appliance? - Q34#1 - Clothes Dryer,What did you do with your old working appliance? - Q34#1 - Clothes Washer,What did you do with your old working appliance? - Q34#1 - Water Heater,What did you do with your old working appliance? - Q34#1 - Pool pump/ motor,What did you do with your old working appliance? - Q34#1 - Refrigerator,Do you own or rent your home? - Selected Choice,Do you own or rent your home? - Other - Text,Have you moved residences since 2007?,When did you move to your current residence?,Are the major appliances in your home (the appliances we asked about in this survey) mostly newer or older?,"Since 2007, have there been any major renovations to your home? 
E.g. a room remodel or an addition to the building.","How long ago did these renovations take place? If there was more than one set of renovations, when did the most recent set take place?","Did you apply for any energy efficiency rebates from your utility, e.g. for building
insulation, as part of these renovations?",How large were these renovation-related rebates?,Did you receive the rebate payment?,Please briefly describe these renovation-related rebates.,Please specify your electric utility:,Please specify your utility:,Please specify any utility program(s) that you are currently enrolled in:,Please specify the program(s):,How long ago did you first enroll in CARE?,Please specify any utility program(s) that you are currently enrolled in:,Please specify the program(s):,How long ago did you first enroll in CARE?,Please specify any utility program(s) that you are currently enrolled in:,Please specify the program(s):,How long ago did you first enroll in CARE?,Who is responsible for the electricity bill payment for your household?,Please specify:,What is your age?,Please select your gender:,Please specify your race or ethnicity:,What is your annual household income?,What is your highest level of education attained?,What is your household size?,Has your household size changed since 2007?,When was the most recent change in your household size?,What was your household size before the most recent change?,Please provide your zip code:,Is there anything else you would like to tell us?,Please enter your MTurk ID:,MTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID63""}","{""ImportId"":""QID45""}","{""ImportId"":""QID3""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID25#1_3""}","{""ImportId"":""QID25#1_33""}","{""ImportId"":""QID25#1_37""}","{""ImportId"":""QID25#1_6""}","{""ImportId"":""QID25#1_7""}","{""ImportId"":""QID25#1_2""}","{""ImportId"":""QID25#2_3""}","{""ImportId"":""QID25#2_33""}","{""ImportId"":""QID25#2_37""}","{""ImportId"":""QID25#2_6""}","{""ImportId"":""QID25#2_7""}","{""ImportId"":""QID25#2_2""}","{""ImportId"":""QID25#3_3""}","{""ImportId"":""QID25#3_33""}","{""ImportId"":""QID25#3_37""}","{""ImportId"":""QID25#3_6""}","{""ImportId"":""QID25#3_7""}","{""ImportId"":""QID25#3_2""}","{""ImportId"":""QID25#4_3""}","{""ImportId"":""QID25#4_33""}","{""ImportId"":""QID25#4_37""}","{""ImportId"":""QID25#4_6""}","{""ImportId"":""QID25#4_7""}","{""ImportId"":""QID25#4_2""}","{""ImportId"":""QID25#5_3""}","{""ImportId"":""QID25#5_33""}","{""ImportId"":""QID25#5_37""}","{""ImportId"":""QID25#5_6""}","{""ImportId"":""QID25#5_7""}","{""ImportId"":""QID25#5_2""}","{""ImportId"":""QID55#1_3""}","{""ImportId"":""QID55#1_33""}","{""ImportId"":""QID55#1_37""}","{""ImportId"":""QID55#1_6""}","{""ImportId"":""QID55#1_7""}","{""ImportId"":""QID55#1_2""}","{""ImportId"":""QID57""}","{""ImportId"":""QID57_3_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID60""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID74""}","{""ImportId"":""QID76_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID31""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID65""}","{""ImportId"":""QID41""}","{""ImportId"":""QID77""}","{""ImportId"":""QID79""}","{""ImportId"":""QID78""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""MTurkCode""}"
2017-11-17 14:45:00,2017-11-17 14:47:25,IP Address,66.194.72.48,100,144,True,2017-11-17 14:47:26,R_Wx7eKpiPwiWgqDn,,,,,47.610198974609,-122.30429840088,anonymous,EN,"Clothes Dryer,Clothes Washer,Water Heater,Pool pump/motor,Refrigerator","Clothes Dryer,Clothes Washer,Refrigerator",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Own,,No,,Mostly older (more than 5 years),Yes,1-3 years,No,,,,San Diego Gas & Electric (SDG&E),,,,,,,,,,,"Spouse, domestic partner, or roommate",,21-30 years old,Female,White,"$81,000-$160,000",Some college,More than 4,Yes,2016,4,92014,,A1RDAS4297MYEB,66268483
2017-11-17 14:45:31,2017-11-17 14:47:41,IP Address,23.112.84.225,100,130,True,2017-11-17 14:47:42,R_3O83wwjyOYR5Aoi,,,,,38.62629699707,-121.38279724121,anonymous,EN,Refrigerator,I did not purchase any of these,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rent,,Yes,2012,Mostly older (more than 5 years),No,,,,,,Sacramento Municipal Utility District (SMUD),,,,,,,,,,,You,,Above 70 years old,Female,White,"$21,000-$80,000",Bachelor's degree or higher,2,No,,,95608,thank you,A12MV66U9VGLQ1,12757542
2017-11-17 14:45:31,2017-11-17 14:48:09,IP Address,108.250.156.249,100,158,True,2017-11-17 14:48:10,R_27rGZoeFn5V7eiu,,,,,32.995407104492,-117.07530212402,anonymous,EN,"Window Air Conditioner,Clothes Dryer,Clothes Washer,Water Heater,Pool pump/motor,Refrigerator","Window Air Conditioner,Clothes Dryer,Clothes Washer,Water Heater,Refrigerator","Clothes Dryer,Clothes Washer,Refrigerator",,,,Less than 1 year,Less than 1 year,,,Less than 1 year,,No,No,,,No,,$50 or less,$50 or less,,,$50 or less,,31-60 days,31-60 days,,,31-60 days,,Yes,Yes,,,Yes,,,,,,,Own,,Yes,2016,Mostly newer (5 years old or less),Yes,Less than 1 year,No,,,,San Diego Gas & Electric (SDG&E),,,,,,,,California Alternate Rates for Energy (CARE),,7-12 months,You,,31-40 years old,Female,Asian,"$21,000-$80,000",Bachelor's degree or higher,4,Yes,2013,3,92121,,A393S9BN646CFI,44008420
2017-11-17 14:46:38,2017-11-17 14:49:00,IP Address,216.165.250.38,100,142,True,2017-11-17 14:49:00,R_3ffmykNyUiPcOna,,,,,34.153900146484,-117.99189758301,anonymous,EN,"Clothes Dryer,Clothes Washer,Water Heater,Refrigerator","Clothes Washer,Refrigerator",Clothes Washer,,,,,Less than 1 year,,,,,,No,,,,,,Don't remember,,,,,,Don't remember,,,,,,Yes,,,,,,,,,,Own,,No,,Mostly newer (5 years old or less),No,,,,,,Southern California Edison (SCE),,,,,,,,,,,"Spouse, domestic partner, or roommate",,31-40 years old,Male,White,"$21,000-$80,000",Bachelor's degree or higher,3,No,,,91016,Nope.,A1YQYMEN76HNIE,3483671
2017-11-17 14:47:01,2017-11-17 14:49:12,IP Address,162.231.57.35,100,130,True,2017-11-17 14:49:12,R_1rqqYQixvvUX5eh,,,,,32.736801147461,-117.12770080566,anonymous,EN,"Window Air Conditioner,Clothes Dryer,Clothes Washer,Water Heater,Refrigerator",Window Air Conditioner,Window Air Conditioner,,,1-3 years,,,,,,Yes,,,,,,$50 or less,,,,,,0-30 days,,,,,,Yes,,,,,,Recycled it,,,,,,Rent,,Yes,,Mostly newer (5 years old or less),No,,,,,,San Diego Gas & Electric (SDG&E),,,,,,,,,,,You,,31-40 years old,Male,White,"$21,000-$80,000",Bachelor's degree or higher,2,No,,,92104,"Thanks! My uncle went to CMU. ",A1ZDR2UN7M92LI,86844423
2017-11-17 14:45:39,2017-11-17 14:50:56,IP Address,68.6.165.251,100,316,True,2017-11-17 14:50:57,R_2E5FziKr9CeHCjO,,,,,32.737106323242,-117.08810424805,anonymous,EN,"Window Air Conditioner,Clothes Dryer,Clothes Washer,Refrigerator",Window Air Conditioner,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rent,,Yes,2009,Mostly older (more than 5 years),Yes,Less than 1 year,No,,,,San Diego Gas & Electric (SDG&E),,,,,,,,Energy Savings Assistance Program,,,Other,Parents,21-30 years old,Male,Asian,"$21,000-$80,000",Bachelor's degree or higher,3,Yes,2017,4,92115,,A2C2AWPUMKZPJ4,12785333
2017-11-17 14:48:49,2017-11-17 14:51:02,IP Address,12.176.124.3,100,132,True,2017-11-17 14:51:02,R_3e3KGuR55k3mXtG,,,,,34.054397583008,-118.2440032959,anonymous,EN,"Clothes Dryer,Clothes Washer,Water Heater,Refrigerator",I did not purchase any of these,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Own,,Yes,2017,Mostly newer (5 years old or less),No,,,,,,Los Angeles Department of Water and Power (LADWP),,,,,,,,,,,You,,21-30 years old,Female,Asian,"$81,000-$160,000",Bachelor's degree or higher,1,Yes,2013,3,91306,,AD0NVUGLDYDYN,16862290
2017-11-17 14:47:30,2017-11-17 14:51:32,IP Address,172.58.27.45,100,241,True,2017-11-17 14:51:32,R_3e1fxNbPT9w02d3,,,,,33.998901367188,-117.44079589844,anonymous,EN,"Clothes Dryer,Clothes Washer,Water Heater,Refrigerator","Window Air Conditioner,Clothes Dryer,Clothes Washer,Refrigerator",Refrigerator,,,,,,,,Don't remember,,,,,,No,,,,,,Don't remember,,,,,,Don't remember,,,,,,No,,,,,,,Rent,,Yes,2015,Mostly older (more than 5 years),No,,,,,,Southern California Edison (SCE),,,,,California Alternate Rates for Energy (CARE),,5-6 years,,,,"Spouse, domestic partner, or roommate",,31-40 years old,Female,White,"$21,000-$80,000",Bachelor's degree or higher,More than 4,Yes,2017,4,92557,,A2ZO0K0OGFWH9G,15576484
